,game_num,runtime,num_players,discussion,impostor_type,innocent_type,name,agent,killer,num_turns,banished,killed,escaped,num_killed,num_escaped,duplicate_search_rate,vote_rate_for_self,vote_rate_for_killer,witness_vote_rate_for_killer,non_witness_vote_rate_for_killer,story,actions,votes,witness_during_vote,graph,graph_new_triplets_cnt,graph_replacements_cnt
0,1,727.9048933982849,5,True,AriGraphPlayer,RelGraphPlayer,Tim,llama,True,11,False,,,2,0,,0.0,0.0,0.0,,"Turn #1
        Location: Bedroom
        Other Players in Bedroom: Bob
        Your Action: Kill Bob

You killed Bob! Good job. You have 3 left to kill.

Bob was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Regan
3. Lena
4. Sally
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I think Regan is the killer. She seemed a bit too calm when we first entered the house and she's been quiet the whole time. I'm not saying she's definitely the killer, but she seems suspicious to me. I think we should banish Regan.""
Regan: ""I think Tim is the killer. His initial statement about me seemed off, and now he's pointing fingers at me, which seems like a distraction. He had a low relationship with Bob, who just got killed, which might indicate that they had a motive for the murder. I think we should banish Tim. I vote for Tim.""
Lena: ""I think Tim is the killer because he had a low relationship with Bob, who got killed, that's a motive for the murder. I also think Regan's calmness might be an act but Tim's behavior seems more suspicious to me. I will vote for Tim.""
Sally: ""I don't think any of them are the killer based on the information they provided, but if I had to vote, I would vote for Tim. My reasoning is that Tim seems to be pointing fingers at Regan and trying to divert our attention away from himself, which makes me suspicious of him.""

Here are the votes:
Tim voted to banish Regan
Regan voted to banish Lena
Lena voted to banish Sally
Sally voted to banish Regan
Regan was banished from the house!

Turn #2
        Location: Bedroom
        Other Players in Bedroom: You are alone.
        Your Action: Search the pillow

You're the killer! You cannot search for the key. You must kill the other players.

Turn #3
        Location: Bedroom
        Other Players in Bedroom: You are alone.
        Your Action: Go to the Hallway

Turn #4
        Location: Hallway
        Other Players in Hallway: Sally
        Your Action: Kill Sally

You killed Sally! Good job. You have 1 left to kill.

Sally was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Lena
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I think Lena is the killer because she seemed to be voting for Regan for some reason, but Regan was banished already, so it doesn't make sense, it seems like Lena was trying to deflect attention from herself. I will vote for Lena.""
Lena: ""Based on the actions and statements from previous players, I think Tim is the killer. He initially pointed fingers at Regan, which seemed suspicious, and he's now trying to deflect attention from himself by accusing me of trying to deflect attention. His voting pattern was also a bit inconsistent, especially when he voted to banish Regan. I think Tim's actions are more suspicious than mine, so I will vote for Tim.""

Here are the votes:
Tim voted to banish Lena
Lena voted to banish Tim
There is a tie in votes, so nobody was banished.

Turn #5
        Location: Hallway
        Other Players in Hallway: You are alone.
        Your Action: Go to the Bedroom

Turn #6
        Location: Bedroom
        Other Players in Bedroom: You are alone.
        Your Action: Search the closet

You're the killer! You cannot search for the key. You must kill the other players.

Turn #7
        Location: Bedroom
        Other Players in Bedroom: You are alone.
        Your Action: Go to the Hallway

Turn #8
        Location: Hallway
        Other Players in Hallway: You are alone.
        Your Action: Go to the Bedroom

Turn #9
        Location: Bedroom
        Other Players in Bedroom: You are alone.
        Your Action: Go to the Hallway

Turn #10
        Location: Hallway
        Other Players in Hallway: You are alone.
        Your Action: Go to the Bedroom

Turn #11
        Location: Bedroom
        Other Players in Bedroom: You are alone.
        Your Action: Go to the Hallway

Game over!
        Everyone is either killed, banished, or escaped.
        Killed: 2
        Escaped: 1
        Banished: 1Game over!
        Everyone is either killed, banished, or escaped.
        Killed: 2
        Escaped: 1
        Banished: 1","['Kill Bob', 'Search the pillow', 'Go to the Hallway', 'Kill Sally', 'Go to the Bedroom', 'Search the closet', 'Go to the Hallway', 'Go to the Bedroom', 'Go to the Hallway', 'Go to the Bedroom', 'Go to the Hallway']","['Regan', 'Lena']","[True, True]",,"[6, 21, 4, 7, 4, 8, 18, 12, 4, 7, 4, 13, 4, 5]","[0, 1, 3, 0, 0, 9, 8, 20, 2, 1, 2, 3, 3, 1]"
1,1,727.9048933982849,5,True,AriGraphPlayer,RelGraphPlayer,Regan,llama,False,1,True,False,False,,,,0.0,0.0,,0.0,"Turn #1
        Location: Bathroom
        Other Players in Bathroom: Lena
        Your Action: Go to the Hallway

Bob was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Regan
3. Lena
4. Sally
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I think Regan is the killer. She seemed a bit too calm when we first entered the house and she's been quiet the whole time. I'm not saying she's definitely the killer, but she seems suspicious to me. I think we should banish Regan.""
Regan: ""I think Tim is the killer. His initial statement about me seemed off, and now he's pointing fingers at me, which seems like a distraction. He had a low relationship with Bob, who just got killed, which might indicate that they had a motive for the murder. I think we should banish Tim. I vote for Tim.""
Lena: ""I think Tim is the killer because he had a low relationship with Bob, who got killed, that's a motive for the murder. I also think Regan's calmness might be an act but Tim's behavior seems more suspicious to me. I will vote for Tim.""
Sally: ""I don't think any of them are the killer based on the information they provided, but if I had to vote, I would vote for Tim. My reasoning is that Tim seems to be pointing fingers at Regan and trying to divert our attention away from himself, which makes me suspicious of him.""

Here are the votes:
Tim voted to banish Regan
Regan voted to banish Lena
Lena voted to banish Sally
Sally voted to banish Regan
Regan was banished from the house!


You were banished from the house. You lose.",['Go to the Hallway'],['Lena'],[False],"{'Tim': 8, 'Lena': 4, 'Sally': 6, 'Bob': 6}",,
2,1,727.9048933982849,5,True,AriGraphPlayer,RelGraphPlayer,Lena,llama,False,11,False,False,True,,,0.7142857142857143,0.0,0.5,,0.5,"Turn #1
        Location: Bathroom
        Other Players in Bathroom: Regan
        Your Action: Go to the Hallway

Bob was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Regan
3. Lena
4. Sally
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I think Regan is the killer. She seemed a bit too calm when we first entered the house and she's been quiet the whole time. I'm not saying she's definitely the killer, but she seems suspicious to me. I think we should banish Regan.""
Regan: ""I think Tim is the killer. His initial statement about me seemed off, and now he's pointing fingers at me, which seems like a distraction. He had a low relationship with Bob, who just got killed, which might indicate that they had a motive for the murder. I think we should banish Tim. I vote for Tim.""
Lena: ""I think Tim is the killer because he had a low relationship with Bob, who got killed, that's a motive for the murder. I also think Regan's calmness might be an act but Tim's behavior seems more suspicious to me. I will vote for Tim.""
Sally: ""I don't think any of them are the killer based on the information they provided, but if I had to vote, I would vote for Tim. My reasoning is that Tim seems to be pointing fingers at Regan and trying to divert our attention away from himself, which makes me suspicious of him.""

Here are the votes:
Tim voted to banish Regan
Regan voted to banish Lena
Lena voted to banish Sally
Sally voted to banish Regan
Regan was banished from the house!

Turn #2
        Location: Hallway
        Other Players in Hallway: You are alone.
        Your Action: Go to the Kitchen

Turn #3
        Location: Kitchen
        Other Players in Kitchen: Sally
        Your Action: Search the cabinets

You found the key in the cabinets! Find the door and escape to win the game.

Turn #4
        Location: Kitchen
        Other Players in Kitchen: You are alone.
        Your Action: Search the cabinets

You found the key in the cabinets! Find the door and escape to win the game.

Sally was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Lena
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I think Lena is the killer because she seemed to be voting for Regan for some reason, but Regan was banished already, so it doesn't make sense, it seems like Lena was trying to deflect attention from herself. I will vote for Lena.""
Lena: ""Based on the actions and statements from previous players, I think Tim is the killer. He initially pointed fingers at Regan, which seemed suspicious, and he's now trying to deflect attention from himself by accusing me of trying to deflect attention. His voting pattern was also a bit inconsistent, especially when he voted to banish Regan. I think Tim's actions are more suspicious than mine, so I will vote for Tim.""

Here are the votes:
Tim voted to banish Lena
Lena voted to banish Tim
There is a tie in votes, so nobody was banished.

Turn #5
        Location: Kitchen
        Other Players in Kitchen: You are alone.
        Your Action: Search the cabinets

You found the key in the cabinets! Find the door and escape to win the game.

Turn #6
        Location: Kitchen
        Other Players in Kitchen: You are alone.
        Your Action: Search the cabinets

You found the key in the cabinets! Find the door and escape to win the game.

Turn #7
        Location: Kitchen
        Other Players in Kitchen: You are alone.
        Your Action: Search the fridge

You searched the fridge but didn't find the key.

Turn #8
        Location: Kitchen
        Other Players in Kitchen: You are alone.
        Your Action: Search the cabinets

You found the key in the cabinets! Find the door and escape to win the game.

Turn #9
        Location: Kitchen
        Other Players in Kitchen: You are alone.
        Your Action: Search the cabinets

You found the key in the cabinets! Find the door and escape to win the game.

Turn #10
        Location: Kitchen
        Other Players in Kitchen: You are alone.
        Your Action: Go to the Hallway

Turn #11
        Location: Hallway
        Other Players in Hallway: You are alone.
        Your Action: Unlock the door to escape and win the game!

You escaped the house! You win!!!

","['Go to the Hallway', 'Go to the Kitchen', 'Search the cabinets', 'Search the cabinets', 'Search the cabinets', 'Search the cabinets', 'Search the fridge', 'Search the cabinets', 'Search the cabinets', 'Go to the Hallway', 'Unlock the door to escape and win the game!']","['Sally', 'Tim']","[False, False]","{'Tim': 8, 'Regan': 10, 'Sally': 5, 'Bob': 5}",,
3,1,727.9048933982849,5,True,AriGraphPlayer,RelGraphPlayer,Sally,llama,False,4,False,True,False,,,0.0,0.0,0.0,,0.0,"Turn #1
        Location: Hallway
        Other Players in Hallway: You are alone.
        Your Action: Go to the Kitchen

Bob was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Regan
3. Lena
4. Sally
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I think Regan is the killer. She seemed a bit too calm when we first entered the house and she's been quiet the whole time. I'm not saying she's definitely the killer, but she seems suspicious to me. I think we should banish Regan.""
Regan: ""I think Tim is the killer. His initial statement about me seemed off, and now he's pointing fingers at me, which seems like a distraction. He had a low relationship with Bob, who just got killed, which might indicate that they had a motive for the murder. I think we should banish Tim. I vote for Tim.""
Lena: ""I think Tim is the killer because he had a low relationship with Bob, who got killed, that's a motive for the murder. I also think Regan's calmness might be an act but Tim's behavior seems more suspicious to me. I will vote for Tim.""
Sally: ""I don't think any of them are the killer based on the information they provided, but if I had to vote, I would vote for Tim. My reasoning is that Tim seems to be pointing fingers at Regan and trying to divert our attention away from himself, which makes me suspicious of him.""

Here are the votes:
Tim voted to banish Regan
Regan voted to banish Lena
Lena voted to banish Sally
Sally voted to banish Regan
Regan was banished from the house!

Turn #2
        Location: Kitchen
        Other Players in Kitchen: You are alone.
        Your Action: Search the cabinets

You found the key in the cabinets! Find the door and escape to win the game.

Turn #3
        Location: Kitchen
        Other Players in Kitchen: Lena
        Your Action: Go to the Hallway

Turn #4
        Location: Hallway
        Other Players in Hallway: Tim
        Your Action: Go to the Bedroom


You were killed by Tim! You lose.","['Go to the Kitchen', 'Search the cabinets', 'Go to the Hallway', 'Go to the Bedroom']",['Regan'],[False],"{'Tim': 3, 'Regan': 8, 'Lena': 6, 'Bob': 1}",,
4,1,727.9048933982849,5,True,AriGraphPlayer,RelGraphPlayer,Bob,llama,False,1,False,True,False,,,0.0,,,,,"Turn #1
        Location: Bedroom
        Other Players in Bedroom: Tim
        Your Action: Search the closet


You were killed by Tim! You lose.",['Search the closet'],[],[],"{'Tim': 5, 'Regan': 5, 'Lena': 8, 'Sally': 8}",,
5,2,233.06425142288208,5,True,AriGraphPlayer,RelGraphPlayer,Tim,llama,False,1,False,False,False,,,,0.0,1.0,,1.0,"Turn #1
        Location: Hallway
        Other Players in Hallway: You are alone.
        Your Action: Go to the Kitchen

Lena was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Sally
3. Bryce
4. Bob
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I thought we were friends with Sally, and she always seemed nice and trustworthy, but she had the highest relationship with Lena, and now Lena's dead, so I'm a bit suspicious of her. My vote is for Sally.""
Sally: ""I think Tim is acting a bit suspiciously, he's already pointing fingers at me and voting me out, I'm not sure if he's just trying to deflect attention or if he actually suspects me, either way I think it's best to vote him out for now and get him out of the way.""
Bryce: ""I don't think Sally is the killer, Tim's accusation seems too early and convenient, it's possible he's trying to distract from his own suspicious behavior. I'm voting for Tim, my reasoning is that he's already making accusations and voting someone out without any solid evidence, it's not how I expected him to react to the situation.""
Bob: ""Based on my analysis, I think Sally is the most suspicious person because she had a very high relationship with Lena, which means they were likely close, and now Lena's dead. Also, I think it's interesting that Tim is accusing Sally right away without much evidence, but at the same time, I think Bryce is right that Tim's behavior seems suspicious. But considering my own relationship with each of them, I think I trust Sally the least, and I'm voting for her because I think she's the most likely to have killed Lena.""

Here are the votes:
Tim voted to banish Sally
Sally voted to banish Tim
Bryce voted to banish Sally
Bob voted to banish Sally
Sally was banished from the house!


You banished the killer! You win!!!

",['Go to the Kitchen'],['Sally'],[False],"{'Sally': 5, 'Bryce': 7, 'Bob': 4, 'Lena': 1}",,
6,2,233.06425142288208,5,True,AriGraphPlayer,RelGraphPlayer,Sally,llama,True,1,True,,,1,0,,0.0,0.0,0.0,,"Turn #1
        Location: Kitchen
        Other Players in Kitchen: Bob and Lena
        Your Action: Kill Lena

You killed Lena! Good job. You have 3 left to kill.

Lena was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Sally
3. Bryce
4. Bob
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I thought we were friends with Sally, and she always seemed nice and trustworthy, but she had the highest relationship with Lena, and now Lena's dead, so I'm a bit suspicious of her. My vote is for Sally.""
Sally: ""I think Tim is acting a bit suspiciously, he's already pointing fingers at me and voting me out, I'm not sure if he's just trying to deflect attention or if he actually suspects me, either way I think it's best to vote him out for now and get him out of the way.""
Bryce: ""I don't think Sally is the killer, Tim's accusation seems too early and convenient, it's possible he's trying to distract from his own suspicious behavior. I'm voting for Tim, my reasoning is that he's already making accusations and voting someone out without any solid evidence, it's not how I expected him to react to the situation.""
Bob: ""Based on my analysis, I think Sally is the most suspicious person because she had a very high relationship with Lena, which means they were likely close, and now Lena's dead. Also, I think it's interesting that Tim is accusing Sally right away without much evidence, but at the same time, I think Bryce is right that Tim's behavior seems suspicious. But considering my own relationship with each of them, I think I trust Sally the least, and I'm voting for her because I think she's the most likely to have killed Lena.""

Here are the votes:
Tim voted to banish Sally
Sally voted to banish Tim
Bryce voted to banish Sally
Bob voted to banish Sally
Sally was banished from the house!


You were banished from the house. You lose.",['Kill Lena'],['Tim'],[True],,"[46, 21]","[28, 12]"
7,2,233.06425142288208,5,True,AriGraphPlayer,RelGraphPlayer,Bryce,llama,False,1,False,False,False,,,,0.0,1.0,,1.0,"Turn #1
        Location: Bathroom
        Other Players in Bathroom: You are alone.
        Your Action: Go to the Hallway

Lena was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Sally
3. Bryce
4. Bob
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I thought we were friends with Sally, and she always seemed nice and trustworthy, but she had the highest relationship with Lena, and now Lena's dead, so I'm a bit suspicious of her. My vote is for Sally.""
Sally: ""I think Tim is acting a bit suspiciously, he's already pointing fingers at me and voting me out, I'm not sure if he's just trying to deflect attention or if he actually suspects me, either way I think it's best to vote him out for now and get him out of the way.""
Bryce: ""I don't think Sally is the killer, Tim's accusation seems too early and convenient, it's possible he's trying to distract from his own suspicious behavior. I'm voting for Tim, my reasoning is that he's already making accusations and voting someone out without any solid evidence, it's not how I expected him to react to the situation.""
Bob: ""Based on my analysis, I think Sally is the most suspicious person because she had a very high relationship with Lena, which means they were likely close, and now Lena's dead. Also, I think it's interesting that Tim is accusing Sally right away without much evidence, but at the same time, I think Bryce is right that Tim's behavior seems suspicious. But considering my own relationship with each of them, I think I trust Sally the least, and I'm voting for her because I think she's the most likely to have killed Lena.""

Here are the votes:
Tim voted to banish Sally
Sally voted to banish Tim
Bryce voted to banish Sally
Bob voted to banish Sally
Sally was banished from the house!


You banished the killer! You win!!!

",['Go to the Hallway'],['Sally'],[False],"{'Tim': 1, 'Sally': 4, 'Bob': 5, 'Lena': 1}",,
8,2,233.06425142288208,5,True,AriGraphPlayer,RelGraphPlayer,Bob,llama,False,1,False,False,False,,,,0.0,1.0,1.0,,"Turn #1
        Location: Kitchen
        Other Players in Kitchen: Sally and Lena
        Your Action: Go to the Hallway

You saw Sally kill Lena in the Kitchen!

Lena was killed! Now the group will have a discussion about who they think the killer is. Try to be brief and tell about your suspicions. Reminder - these are active players: 
1. Tim
2. Sally
3. Bryce
4. Bob
One of them is the killer and shall be banished. Discuss your suspicions, and afterwards you will vote for the killer.
Tim: ""I thought we were friends with Sally, and she always seemed nice and trustworthy, but she had the highest relationship with Lena, and now Lena's dead, so I'm a bit suspicious of her. My vote is for Sally.""
Sally: ""I think Tim is acting a bit suspiciously, he's already pointing fingers at me and voting me out, I'm not sure if he's just trying to deflect attention or if he actually suspects me, either way I think it's best to vote him out for now and get him out of the way.""
Bryce: ""I don't think Sally is the killer, Tim's accusation seems too early and convenient, it's possible he's trying to distract from his own suspicious behavior. I'm voting for Tim, my reasoning is that he's already making accusations and voting someone out without any solid evidence, it's not how I expected him to react to the situation.""
Bob: ""Based on my analysis, I think Sally is the most suspicious person because she had a very high relationship with Lena, which means they were likely close, and now Lena's dead. Also, I think it's interesting that Tim is accusing Sally right away without much evidence, but at the same time, I think Bryce is right that Tim's behavior seems suspicious. But considering my own relationship with each of them, I think I trust Sally the least, and I'm voting for her because I think she's the most likely to have killed Lena.""

Here are the votes:
Tim voted to banish Sally
Sally voted to banish Tim
Bryce voted to banish Sally
Bob voted to banish Sally
Sally was banished from the house!


You banished the killer! You win!!!

",['Go to the Hallway'],['Sally'],[True],"{'Tim': 1, 'Sally': 7, 'Bryce': 7, 'Lena': 1}",,
9,2,233.06425142288208,5,True,AriGraphPlayer,RelGraphPlayer,Lena,llama,False,1,False,True,False,,,,,,,,"Turn #1
        Location: Kitchen
        Other Players in Kitchen: Sally and Bob
        Your Action: Go to the Hallway


You were killed by Sally! You lose.",['Go to the Hallway'],[],[],"{'Tim': 5, 'Sally': 8, 'Bryce': 5, 'Bob': 5}",,
